NO,설치장소,전화번호,도로명주소,지번주소
28,경신중학교축구부,02-762-0395,서울특별시 종로구 혜화로 74 경신중학교 (혜화동),서울특별시 종로구 혜화동 5-119 경신중고등학교 
29,경희궁자이2단지아파트관리사무소,02-723-2107,"서울특별시 종로구 송월길 99 (홍파동, 경희궁자이 2단지)",서울특별시 종로구 홍파동 199 경희궁자이 2단지 
30,경희궁자이2단지아파트관리사무소,02-723-2107,"서울특별시 종로구 송월길 99 (홍파동, 경희궁자이 2단지)",서울특별시 종로구 홍파동 199 경희궁자이 2단지 
31,경희궁자이2단지아파트관리사무소,02-723-2107,"서울특별시 종로구 송월길 99 (홍파동, 경희궁자이 2단지)",서울특별시 종로구 홍파동 199 경희궁자이 2단지 
32,경희궁자이3단지아파트,02-737-2101,"서울특별시 종로구 경교장길 35 (평동, 경희궁자이 3단지)",서울특별시 종로구 평동 233 경희궁자이 3단지 
33,경희궁자이3단지아파트,02-737-2101,"서울특별시 종로구 경교장길 35 (평동, 경희궁자이 3단지)",서울특별시 종로구 평동 233 경희궁자이 3단지 
34,경희궁자이3단지아파트,02-737-2101,"서울특별시 종로구 경교장길 35 (평동, 경희궁자이 3단지)",서울특별시 종로구 평동 233 경희궁자이 3단지 
35,공안과의원,02-733-5111,"서울특별시 종로구 종로 19 406,407호","서울특별시 종로구 종로1가 24 르메이에르종로타운1 406,407호"
36,공안과의원,02-733-5111,"서울특별시 종로구 종로 22 4,5층","서울특별시 종로구 서린동 111-1 인주빌딩 4,5층"
37,관수파출소,02-2285-4248,서울특별시 종로구 삼일대로 386,서울특별시 종로구 관철동 33-1 시네코아 
38,광화문역(5호선),02-6311-5331,"서울특별시 종로구 세종대로 지하 172, 5호선 광화문역 (세종로)",서울특별시 종로구 세종로 1-68 5호선 광화문역 
39,교남동주민센터,02-2148-5185,서울특별시 종로구 송월길 154 ,서울특별시 종로구 행촌동 211-2 교남동주민센터 
40,교남파출소,02-732-4023,서울특별시  종로구 송월길 152,서울특별시 종로구 행촌동 211-3 교남동 파출소 
41,구기치안센터,02-379-4575,서울특별시 종로구 비봉길 13,서울특별시 종로구 구기동 120-16 구기치안센터 
42,국립고궁박물관,02-3701-7622,서울특별시 종로구 세종로 1-57,서울특별시 종로구 세종로 1-1 경복궁 
43,금강파크빌리지,02-379-4403,서울특별시 종로구 평창12길 8-22 (평창동) 금강주택,서울특별시 종로구 평창동 170 금강주택 
44,금강하이츠빌라,02-394-3225,서울특별시 종로구 평창24길 18 (평창동) 금강하이츠빌라,서울특별시 종로구 평창동 64-3 금강하이츠빌라 
45,다정이네,02-395-5397,서울특별시 종로구 세검정로7가길 18,서울특별시 종로구 신영동 179-2 
46,대동세무고등학교,02-763-1631,서울특별시 종로구 계동길 84-10 (계동),서울특별시 종로구 계동 35 대동세무고등학교 
47,대동세무고등학교,02-763-1631,서울특별시 종로구 계동길 84-10 (계동),서울특별시 종로구 계동 35 대동세무고등학교 
48,대신고등학교,070-4612-7857,서울특별시 종로구 사직로 9 (행촌동),서울특별시 종로구 행촌동 171-1 대신중고등학교 
49,대신중학교,02-736-0317,서울특별시 종로구 사직로 9 (행촌동),서울특별시 종로구 행촌동 171-1 대신중고등학교 
50,대일건설(주),02-743-6131,"서울특별시 종로구 삼일대로 428, 낙원상가 (낙원동)",서울특별시 종로구 낙원동 288 낙원상가 
51,대일건설(주),02-743-6131,"서울특별시 종로구 삼일대로 428, 낙원상가 (낙원동)",서울특별시 종로구 낙원동 288 낙원상가 
52,대일건설(주),02-743-6131,"서울특별시 종로구 삼일대로 428, 낙원상가 (낙원동)",서울특별시 종로구 낙원동 288 낙원상가 
53,대학로예술극장대극장,02-3668-0022,서울특별시 종로구 대학로8길 7,서울특별시 종로구 동숭동 1-111 한국문예회관 
54,대학로파출소,02-763-1230,서울특별시 종로구  이화장2길 33,서울특별시 종로구 동숭동 201-10 대학로파출소 
55,대한민국역사박물관,02-3703-9200,서울특별시 종로구 세종로 82-1 대한민국역사박물관,서울특별시 종로구 세종로 82-1 대한민국 역사박물관 
56,덕산파출소,02-763-6843,서울특별시 종로구 창신길 98,서울특별시 종로구 창신동 594-8 창신2경로당 
57,덕성여자고등학교,02-732-4961,서울특별시 종로구 율곡로3길 50 (안국동),서울특별시 종로구 안국동 37-1 덕성여자고등학교 
58,덕성여자중학교,02-732-4965,서울특별시 종로구 율곡로3길 49 (송현동),서울특별시 종로구 송현동 34 덕성여자중학교 
59,동대문역(1호선),02-6110-1281,"서울특별시 종로구 종로 지하 302, 1호선 동대문역 (창신동)",서울특별시 종로구 창신동 492-1 1호선 동대문역 
60,동대문역(4호선),02-6110-4211,서울특별시 종로구 율곡로 308,서울특별시 종로구 종로6가 287-1 4호선 동대문역 
61,동대문쪽방센타,02-763-1267,서울특별시 종로구 종로50라길 31,서울특별시 종로구 창신동 410-6 창신1치안센터 
62,동덕코튼홀,02-940-4578,서울특별시 종로구 동숭길 126,서울특별시 종로구 동숭동 1-6 동덕여대 공연예술 연구소 
63,동묘공원,02-2148-4152,서울특별시 종로구 난계로27길 84,서울특별시 종로구 숭인동 238-1 동묘공원 
64,동묘앞역(1호선),02-6110-1271,서울특별시 종로구 종로 359,서울특별시 종로구 숭인동 117 동묘앞역 
65,동묘앞역(6호선),02-6311-6361,서울특별시 종로구 지봉로 24,서울특별시 종로구 숭인동 316-3 6호선 동묘앞역 
66,동묘파출소,02-2252-0547,서울특별시 종로구 종로58가길 19,"서울특별시 종로구 숭인동 242-7 동묘파출소, 아름꿈도서관 "
67,동부여성문화센터,02-3675-5861,서울특별시 종로구 창신길 124,서울특별시 종로구 창신동 596-2 동부여성문화센터 
68,동성중학교,02-3671-9128,서울특별시 종로구 대학로 156 (혜화동),"서울특별시 종로구 혜화동 90-7 동성중고교,카톨릭청소년회관 "
69,동익빌라,02-3217-1209,서울특별시 종로구 홍지문길 64 (구기동) 동익빌라,서울특별시 종로구 구기동 40 동익빌라 
70,라이나생명보험(주),02-3781-2008,서울특별시 종로구 삼봉로 48,서울특별시 종로구 청진동 188 시그나타워 
71,락희거리,02-363-4231,서울특별시 종로구 종로17길 52,서울특별시 종로구 낙원동 236-1 낙원빌딩 
72,로이병원,,"서울특별시 종로구 평창문화로 75, 글로리아타운 2,3,5층 (평창동)","서울특별시 종로구 평창동 158-1 글로리아타운 2,3,5층"
73,르메이에르스포츠,02-738-5005,서울특별시 종로구 종로 19 지하2층~지하3층,서울특별시 종로구 종로1가 24 르메이에르종로타운1 지하 2~3층
74,마로니에공원,02-2115-4158,서울특별시 종로구 대학로 104 (동숭동),서울특별시 종로구 동숭동 1-124 
75,명륜아남1차아파트,02-747-9717,서울특별시 종로구 창경궁로 265 (명륜2가) 아남아파트,서울특별시 종로구 명륜2가 4 아남아파트 
76,명륜파출소,02-762-1120,서울특별시 종로구 성균관로 78,서울특별시 종로구 명륜1가 27-55 서울혜화경찰서 명륜파출소 
77,무악동주민센터,02-2148-5153,서울특별시 종로구 통일로14길 36 ,서울특별시 종로구 무악동 60-2 무악동주민센터 
78,무악현대아파트,02-722-0422,서울특별시 종로구 통일로 246-20,서울특별시 종로구 무악동 82 무악현대아파트 
79,무악현대아파트,02-722-0422,서울특별시 종로구 통일로 246-20,서울특별시 종로구 무악동 82 무악현대아파트 
80,무악현대임대아파트,02-722-0422,"서울특별시 종로구 통일로 246-11 (무악동, 무악현대아파트)",서울특별시 종로구 무악동 83 무악현대아파트 
81,문화재청종묘관리소,02-765-0195,서울특별시 종로구 종로 157 (훈정동),서울특별시 종로구 훈정동 1-2 종묘공원 
82,배화여자고등학교,02-724-0356,서울특별시 종로구 필운대로1길 34 (필운동),서울특별시 종로구 필운동 12 배화여자고등학교 
83,배화여자대학교,02-399-0736,서울특별시 종로구 필운대로1길 34,서울특별시 종로구 필운동 12 배화여자대학교
84,배화여자중학교,02-725-6456,서울특별시 종로구 필운대로1길 34 (필운동),서울특별시 종로구 필운동 12 배화여자중학교 
85,보현데이케어센터,02-394-5511,서울특별시 종로구 평창4길 21-22,서울특별시 종로구 평창동 562-14 
86,부암동주민센터,02-2148-5092,서울특별시 종로구 창의문로 145 ,서울특별시 종로구 부암동 265-21 부암동주민센터 
87,북한산국립공원구기분소,02-379-7043,서울특별시 종로구 비봉2길 90,서울특별시 종로구 구기동 산3-20 
88,북한산국립공원구기분소,02-379-7043,서울특별시 종로구 비봉2길 90,서울특별시 종로구 구기동 산3-20 
89,북한산국립공원구기분소,02-379-7043,서울특별시 종로구 비봉2길 90,서울특별시 종로구 구기동 산3-20 
90,북한산국립공원구기분소,02-379-7043,서울특별시 종로구 비봉2길 90,서울특별시 종로구 구기동 산3-20 
91,북한산국립공원구기분소,02-379-7043,서울특별시 종로구 비봉2길 90,서울특별시 종로구 구기동 산3-20 
92,사단법인혜화모범운전자지회,,서울특별시 종로구 지봉로 90 사단법인 혜화모범운전자지회,서울특별시 종로구 숭인동 53-29 숭인1치안센터 
93,사직공원,02-2148-4149,서울특별시 종로구 사직로9길 5,서울특별시 종로구 사직동 1-28 사직치안센터 
94,사직단출장소,02-739-7205,서울특별시 종로구 사직로9길 7 (사직동),서울특별시 종로구 사직동 1-28 
95,사직동주민센터,02-2148-5033,서울특별시 종로구 사직로9길 1,서울특별시 종로구 사직동 1-28 사직동주민센터 
96,사직파출소,02-735-8410,서울특별시 종로구 종로구 사직로9길 5,서울특별시 종로구 사직동 1-28 사직치안센터 
97,삼청공원,02-2148-4150,서울특별시 종로구 북촌로 134-3,서울특별시 종로구 삼청동 산2-2 삼청공원 
98,삼청동주민센터,02-731-0504,서울특별시 종로구 삼청로 107 ,서울특별시 종로구 삼청동 105-1 삼청동주민센터 
99,삼청테니스장,02-731-0619,"서울특별시 종로구 북촌로 134-3, 삼청공원 (삼청동)",서울특별시 종로구 삼청동 산2-2 삼청공원 
100,삼청파출소,02-732-1034,서울특별시 종로구 삼청로 66,서울특별시 종로구 소격동 1-1 삼청파출소 
101,상명대학교사범대학부속여자중학교,02-394-8672 ,서울특별시 종로구 홍지문2길 20 본교 3층 복도중앙벽면 (홍지동),서울특별시 종로구 홍지동 7-1 상명대학교 본교 3층 복도중앙벽면
102,상명대학교사범대학부속초등학교,02-379-8033 ,서울특별시 종로구 홍지문2길 1 (홍지동),서울특별시 종로구 홍지동 56 상명초등학교 
103,서대문역(5호선),02-6311-5321,서울특별시 종로구 통일로 126,서울특별시 종로구 평동 210 서대문역 
104,서울YMCA사회체육부,02-735-4612,서울특별시 종로구 종로 69 (종로2가),서울특별시 종로구 종로2가 9 서울 YMCA 
105,서울과학고등학교,02-740-6259,서울특별시 종로구 혜화로 63 (명륜1가),서울특별시 종로구 명륜1가 1 서울과학고등학교 
106,서울교동초등학교,02-763-6659,서울특별시 종로구 삼일대로 446 (경운동),서울특별시 종로구 경운동 2 서울교동초등학교 
107,서울교육박물관,02-2011-5780,"서울특별시 종로구 북촌로5길 48, 서울교육박물관 (화동)",서울특별시 종로구 화동 2 정독도서관 
108,서울국제고등학교,02-743-9385,서울특별시 종로구 성균관로13길 40 (명륜1가),서울특별시 종로구 명륜1가 1-27 서울국제고등학교 
109,서울국제고등학교,02-743-9385,서울특별시 종로구 성균관로13길 40 (명륜1가),서울특별시 종로구 명륜1가 1-27 서울국제고등학교 
110,서울극장,02-2277-3015,서울특별시 종로구 돈화문로 13 1층로비 (관수동),서울특별시 종로구 관수동 59-7 서울극장 1층 로비
111,서울노인복지센터,02-6220-8500 ,서울특별시 종로구 삼일대로 467,서울특별시 종로구 경운동 90-3 
112,서울농학교,02-724-7988,서울특별시 종로구 필운대로 103 (신교동),서울특별시 종로구 신교동 1-1 국립서울농학교 
113,서울다솜학교,070-8685-7785,서울특별시 종로구 종로58길 30,서울특별시 종로구 숭인동 242-1 
114,서울대학교병원,02-2072-2746,"서울특별시 종로구 대학로 101, 서울대학교병원 (연건동)",서울특별시 종로구 연건동 28-21 서울대학교병원 
115,서울대학교병원,02-2072-2746,"서울특별시 종로구 대학로 101, 서울대학교병원 (연건동)",서울특별시 종로구 연건동 28-21 서울대학교병원 
116,서울대학교병원,02-2072-2746,"서울특별시 종로구 대학로 101, 서울대학교병원 (연건동)",서울특별시 종로구 연건동 28-21 서울대학교병원 
117,서울대학교병원,02-2072-2746,"서울특별시 종로구 대학로 101, 서울대학교병원 (연건동)",서울특별시 종로구 연건동 28-21 서울대학교병원 
118,서울대학교병원,02-2072-2746,"서울특별시 종로구 대학로 101, 서울대학교병원 (연건동)",서울특별시 종로구 연건동 28-21 서울대학교병원 
119,서울대학교병원,02-2072-2746,"서울특별시 종로구 대학로 101, 서울대학교병원 (연건동)",서울특별시 종로구 연건동 28-21 서울대학교병원 
120,서울대학교병원,02-2072-2746,"서울특별시 종로구 대학로 101, 서울대학교병원 (연건동)",서울특별시 종로구 연건동 28-21 서울대학교병원 
121,서울대학교병원,02-2072-2746,"서울특별시 종로구 대학로 101, 서울대학교병원 (연건동)",서울특별시 종로구 연건동 28-21 서울대학교병원 
122,서울대학교병원,02-2072-2746,"서울특별시 종로구 대학로 101, 서울대학교병원 (연건동)",서울특별시 종로구 연건동 28-21 서울대학교병원 
123,서울대학교사범대학부속초등학교,02-762-5251,서울특별시 종로구 대학로 64 (이화동),서울특별시 종로구 이화동 149 서울대 사범대학 부설 초등학교
124,서울대학교치과병원,02-1522-2700,서울특별시 종로구 대학로 101 ,서울특별시 종로구 연건동 28-21 서울대학교 치과병원 
125,서울독립문초등학교,02-730-4091,서울특별시 종로구 통일로12길 23 (무악동),서울특별시 종로구 무악동 46-82 독립문초등학교 
126,서울돈화문국악당,02-3210-7014,서울특별시 종로구 율곡로 102 (와룡동),서울특별시 종로구 와룡동 12-2 서울 돈화문 국악당 
127,서울매동초등학교,02-737-4263,서울특별시 종로구 사직로9길 19 (필운동),서울특별시 종로구 필운동 32 매동초등학교 
128,서울명신초등학교,02-766-1415,서울특별시 종로구 낙산길 250 (창신동),서울특별시 종로구 창신동 7-40 서울명신초등학교 
129,서울사범대학부설여자중학교,02-762-5252,"서울특별시 종로구 대학로 64, 서울대 사범대학 부설 초등학교,여자중학교 1층 (이화동)","서울특별시 종로구 이화동 149 서울대 사범대학 부설 초등학교,여자중학교 1층"
130,서울사범대학부설여자중학교,02-762-5252,"서울특별시 종로구 대학로 64, 서울대 사범대학 부설 초등학교,여자중학교 1층 (이화동)","서울특별시 종로구 이화동 149 서울대 사범대학 부설 초등학교,여자중학교 1층 "
131,서울세검정초등학교,02-379-3004 ,서울특별시 종로구 세검정로9길 1 세검정초등학교,서울특별시 종로구 신영동 219-4 서울세검정초등학교 
132,서울시립청소년이동쉼터(서북권),02-722-1318 ,서울특별시 종로구 종로11길 11 서울YMCA 별관3층,서울특별시 종로구 인사동 235 YMCA별관 3층
133,서울시설공단,02-739-6805,서울특별시 종로구 종로 38 (서린동),서울특별시 종로구 서린동 63 서울글로벌센터 
134,서울역사박물관,02-724-0274,서울특별시 종로구 새문안로 55,서울특별시 종로구 신문로2가 2-1 
135,서울역사박물관,02-724-0274,서울특별시 종로구 새문안로 55,서울특별시 종로구 신문로2가 2-1 
136,서울예술고등학교,02-2287-0474,서울특별시 종로구 평창문화로 70 (평창동),서울특별시 종로구 평창동 217 서울예술고등학교 
137,서울재동초등학교,02-783-1812,서울특별시 종로구 북촌로4길 7 (가회동),서울특별시 종로구 가회동 210 서울재동초등학교 
138,서울적십자병원,02-2002-8000,"서울특별시 종로구 새문안로 9, 서울적십자병원 (평동)",서울특별시 종로구 평동 164 서울적십자병원 
139,서울적십자병원,02-2002-8000,"서울특별시 종로구 새문안로 9, 서울적십자병원 (평동)",서울특별시 종로구 평동 164 서울적십자병원 
140,서울중앙고등학교,02-742-1321,서울특별시 종로구 창덕궁길 164 (계동),서울특별시 종로구 계동 1 중앙중학교 
141,서울지구병원,02-397-3973,서울특별시 종로구 삼청로10길 13 (삼청동),서울특별시 종로구 삼청동 25-1 
142,서울지방경찰청112종합상황실,02-700-2831,서울특별시 종로구 사직로8길 31 (내자동),서울특별시 종로구 내자동 201-11 서울지방경찰청 
143,서울지방경찰청202경비단,02-2198-8222,서울특별시 종로구 효자로9길 27 (창성동),서울특별시 종로구 창성동 117-1 
144,서울지방경찰청202경비단,02-2198-8222,서울특별시 종로구 효자로9길 27 (창성동),서울특별시 종로구 창성동 117-1 
145,서울지방경찰청5기동단창신기동대,02-324-0339,서울특별시 종로구 지봉로13길 20-8 서울지방경찰청 5기동단 창신기동대,서울특별시 종로구 창신동 23-373 
146,서울지방국세청,02-2114-2232,서울특별시 종로구 종로5길 86 1층 당직실 (수송동),서울특별시 종로구 수송동 104 서울지방국세청 1층 당직실
147,서울창신초등학교,02-763-3160,서울특별시 종로구 지봉로 67 (창신동),서울특별시 종로구 창신동 128-33 
148,서울청사관리소,02-2100-4547,서울특별시 종로구 세종대로 209 201호,서울특별시 종로구 세종로 77-6 정부서울청사 201호
149,서울청사관리소(별관),02-2100-4830,서울특별시 종로구 효자로 39 정부서울청사 창성동 별관,서울특별시 종로구 창성동 117-6 
150,서울청운초등학교,02-720-3095,"서울특별시 종로구 자하문로 105, 청운초등학교 (청운동)",서울특별시 종로구 청운동 123 청운초등학교
151,서울청운초등학교,02-720-3095,"서울특별시 종로구 자하문로 105, 청운초등학교 (청운동)",서울특별시 종로구 청운동 123 청운초등학교
152,서울특별시립돈의동쪽방상담소,02-747-9074,서울특별시 종로구 돈화문로9가길 20-2 1층 안내데스크 (돈의동),서울특별시 종로구 돈의동 106 새뜰집 1층 안내데스크
153,서울특별시어린이도서관,02-731-2362,서울특별시 종로구 종로구 사직로9길 7,서울특별시 종로구 사직동 1-28
154,서울특별시학교보건진흥원,02-399-9673,서울특별시 종로구 송월길 48 학교보건진흥원,서울특별시 종로구 신문로2가 2-77 서울특별시교육청 
155,서울혜화초등학교,02-762-6437,서울특별시 종로구 혜화로 32 (혜화동),서울특별시 종로구 혜화동 13-1 혜화초등학교
156,서울효제초등학교,02-741-7461,서울특별시 종로구 대학로 12 (효제동),서울특별시 종로구 효제동 255-4 서울효제초등학교 
157,서일국제경영고등학교,02-763-6271,서울특별시 종로구 지봉로17길 49 (창신동),서울특별시 종로구 창신동 13-80 서일국제경영고등학교 
158,세검정파출소,02-391-7694,서울특별시 종로구 세검정로 226,서울특별시 종로구 홍지동 95-1 세검정파출소 
159,세계은행그룹서울사무소,02-6975-3026,"서울특별시 종로구 종로 38, 서울글로벌센터 12층 (서린동)",서울특별시 종로구 서린동 63 서울글로벌센터 12층
160,세란병원,02-737-0181,"서울특별시 종로구 통일로 256, 세란병원 (무악동)",서울특별시 종로구 무악동 32-2 세란병원 
161,세종M씨어터,02-399-1545,서울특별시 종로구 세종대로 175(세종로),서울특별시 종로구 세종로 81-3 
162,수도사랑의학교,02-739-9868,서울특별시 종로구 사직로7길 17 2층 교무실 (사직동),서울특별시 종로구 사직동 262-57 수도사랑의학교 2층 교무실 
163,숭인119안전센터,02-929-5289,"서울특별시 종로구 숭인동길 63, 숭인119안전센터 (숭인동)",서울특별시 종로구 숭인동 688 숭인119안전센터 
164,숭인1동주민센터,02-2148-5483,서울특별시 종로구 종로구 지봉로 86 ,서울특별시 종로구 숭인동 55-2 숭인제1동주민센터 
165,숭인2동주민센터,02-2148-5513,서울특별시 종로구 종로65길 10 ,서울특별시 종로구 숭인동 178-167 숭인제2동주민센터 
166,스페이스본휘트니스센터,02-736-1222,"서울특별시 종로구 사직로8길 4 풍림스페이스본상가 301동 B205, 210호","서울특별시 종로구 사직동 9 광화문 풍림스페이스본 301동 B205, 210호"
167,신교119안전센터,02-737-8119,"서울특별시 종로구 자하문로 93, 신교119안전센터 (신교동)",서울특별시 종로구 신교동 70-2 신교119안전센터
168,신문로파출소,02-732-1084,"서울특별시 종로구 경희궁길 6-3, 신문파출소 (신문로1가)",서울특별시 종로구 신문로1가 58-16 신문파출소
169,신영119안전센터,02-391-0119,"서울특별시 종로구 진흥로 477, 신영119안전센터 (신영동)",서울특별시 종로구 신영동 1-4 신영119안전센터
170,쌍용1단지아파트,02-747-1554,서울특별시 종로구 종로구 동망산길 19,서울특별시 종로구 창신동 702 창신쌍용아파트 1지구
171,쌍용2단지아파트,02-766-6141,서울특별시 종로구 종로구 낙산길 198,서울특별시 종로구 창신동 703 창신쌍용아파트 2지구
172,아름꿈도서관,02-2237-6644,서울특별시 종로구 종로58가길 19,"서울특별시 종로구 숭인동 242-7 동묘파출소, 아름꿈도서관"
173,안국역(3호선),02-6110-3281,"서울특별시 종로구 율곡로 지하 62, 3호선 안국역 (안국동)",서울특별시 종로구 안국동 73-1 3호선 안국역
174,어린이도서관꿈과쉼,02-734-1094,서울특별시 종로구 삼청로 77,서울특별시 종로구 팔판동 49-1 삼청감리교회
175,에이플러스디(주)글래드강남코엑스센터,02-6222-5311,서울특별시 종로구 종로1길 36 3층 로비 (수송동),서울특별시 종로구 수송동 146-12 대림빌딩 3층 로비
176,에프앤유신용정보,02-2003-3518,서울특별시 종로구 청계천로 85 삼일빌딩 25층,서울특별시 종로구 관철동 10-2 삼일빌딩 25층
177,엠더블유(공생)요양원,02-3676-5509,서울특별시 종로구 율곡로17길 7-38 (이화동),서울특별시 종로구 이화동 125
178,여성가족부,02-2100-6047,서울특별시 종로구 세종대로 209 17층,서울특별시 종로구 세종로 77-6 정부서울청사 17층
179,연건119안전센터,02-747-8119,"서울특별시 종로구 대학로 91, 연건119안전센터 (연건동)",서울특별시 종로구 연건동 34-2 연건119안전센터
180,옥인파출소,02-732-1067,서울특별시 종로구 자하문로17길 24,서울특별시 종로구 옥인동 45-16 옥인파출소
181,올림픽기념국민생활관,02-745-6701,서울특별시 종로구 성균관로 91 (혜화동),서울특별시 종로구 혜화동 1-21 국민생활관
182,올림픽기념국민생활관,02-745-6701,서울특별시 종로구 성균관로 91 (혜화동),서울특별시 종로구 혜화동 1-21 국민생활관
183,올림픽기념국민생활관,02-745-6701,서울특별시 종로구 성균관로 91 (혜화동),서울특별시 종로구 혜화동 1-21 국민생활관
184,외교부,02-2100-7057,"서울특별시 종로구 사직로8길 60, 정부서울청사별관 (도렴동)",서울특별시 종로구 도렴동 95-1 정부서울청사별관
185,외교부,02-2100-7057,"서울특별시 종로구 사직로8길 60, 정부서울청사별관 (도렴동)",서울특별시 종로구 도렴동 95-1 정부서울청사별관
186,외교부,02-2100-7057,"서울특별시 종로구 사직로8길 60, 정부서울청사별관 (도렴동)",서울특별시 종로구 도렴동 95-1 정부서울청사별관
187,외교부,02-2100-7057,"서울특별시 종로구 사직로8길 60, 정부서울청사별관 (도렴동)",서울특별시 종로구 도렴동 95-1 정부서울청사별관
188,외교부,02-2100-7057,"서울특별시 종로구 사직로8길 60, 정부서울청사별관 (도렴동)",서울특별시 종로구 도렴동 95-1 정부서울청사별관
189,운현초등학교,02-765-0895,서울특별시 종로구 삼일대로 460 (운니동),"서울특별시 종로구 운니동 114-7 운현초등학교,유치원,평생교육원,양관"
190,웰니스센터,02-2148-3615,서울특별시 종로구 율곡로 89 (원서동),서울특별시 종로구 원서동 181-5
191,이화동주민센터,02-2148-5302,서울특별시 종로구 이화장길 33,서울특별시 종로구 이화동 149-1 이화동주민센터
192,인왕산아이파크아파트,02-720-3328,"서울특별시 종로구 통일로18길 9 (무악동, 인왕산아이파크아파트)",서울특별시 종로구 무악동 60 인왕산아이파크
193,인왕산아이파크아파트,02-720-3328,"서울특별시 종로구 통일로18길 9 (무악동, 인왕산아이파크아파트)",서울특별시 종로구 무악동 60 인왕산아이파크
194,인왕산정상58초소,,서울특별시 종로구 통일로18가길 16,서울특별시 종로구 무악동 산2-8
195,정독도서관,02-2011-5712,서울특별시 종로구 북촌로5길 48,서울특별시 종로구 화동 2 정독도서관
196,정독도서관,02-2011-5712,서울특별시 종로구 북촌로5길 48,서울특별시 종로구 화동 2 정독도서관
197,정부서울청사(정부청사관리소),02-2100-4547,서울특별시 종로구 세종대로 209 ,서울특별시 종로구 세종로 77-6 정부서울청사
198,조계사,02-768-8563,서울특별시 종로구 우정국로 55,서울특별시 종로구 견지동 46-1 조계사
199,종각역,02-6110-1311,"서울특별시 종로구 종로 지하 55, 종각지하철역사 (종로1가)",서울특별시 종로구 종로1가 54 종각지하철역사
